species	x	y
p_rigida	-49.004398	-22.1105
p_rigida	-51.208698	-22.1702
p_rigida	-51.291699	-22.4492
p_rigida	-51.711944	-17.900278
p_rigida	-51.995278	-18.439444
p_rigida	-52.078611	-17.97
p_rigida	-51.468611	-18.692778
p_rigida	-52.55110168	-17.56940079
p_rigida	-52.078889	-17.970833
p_rigida	-51.71440125	-17.88139915
p_rigida	-51.717222	-17.923056
p_rigida	-51.708056	-17.973056
p_rigida	-49.34000015	-24.11000061
p_rigida	-48.86999893	-23.97999954
p_rigida	-56.44609833	-14.40859985
p_rigida	-47.81999969	-22.25
p_rigida	-48.95920181	-15.85249996
p_rigida	-47.2928009	-19.35280037
p_rigida	-55.78720093	-20.47109985
p_rigida	-47.88000107	-20.71999931
p_rigida	-46.99250031	-18.94389915
p_rigida	-49.23889923	-22.88059998
p_rigida	-44.45640182	-18.38080025
p_rigida	-55.2	-14.6
p_rigida	-43.74499893	-19.5135994
p_rigida	-50.66939926	-11.6171999
p_rigida	-52.35309982	-14.67329979
p_rigida	-56.42750168	-14.83609962
p_rigida	-54.96559906	-14.95689964
p_rigida	-49.7057991	-24.25110054
p_rigida	-52.75	-18.316667
p_rigida	-50.41360092	-24.50939941
p_rigida	-47.877778	-15.946389
p_rigida	-49.06000137	-22.30999947
p_rigida	-49.36999893	-20.81999969
p_rigida	-54.15029907	-17.20890045
p_rigida	-48.589722	-16.630278
p_rigida	-48.016667	-15.883333
p_rigida	-48.016667	-14.072694
p_rigida	-50.166667	-16.083333
p_rigida	-48.05	-16.05
p_rigida	-47.856667	-15.765833
p_rigida	-47.816667	-15.85
p_rigida	-47.804444	-15.78
p_rigida	-48.0122	-16.7179
p_rigida	-48.821667	-15.804444
p_rigida	-47.397778	-15.895972
p_rigida	-47.883333	-15.75
p_rigida	-45.311667	-15.345
p_rigida	-43.792222	-17.903611
p_rigida	-43.885556	-17.9275
p_rigida	-43.583611	-18.22
p_rigida	-48.078889	-15.640833
p_rigida	-47.36999893	-21.02000046
p_rigida	-47.818333	-13.634444
p_rigida	-48.416667	-22.75
p_rigida	-48.43999863	-22.87999916
p_rigida	-44.40420151	-19.27440071
p_rigida	-43.616667	-18.166667
p_rigida	-44.97330093	-12.36330032
p_rigida	-43.75	-18.85
p_rigida	-42.59030151	-17.21859932
p_rigida	-46.94219971	-22.37220001
p_rigida	-47.153056	-19.286389
p_rigida	-45.24219894	-7.558330059
p_rigida	-43.583333	-19.3
p_rigida	-46.516667	-20.316667
p_rigida	-45.75	-13
p_rigida	-46.87469864	-17.22220039
p_rigida	-47.804167	-15.866667
p_rigida	-47.899444	-15.661111
p_rigida	-47.926806	-15.731556
p_rigida	-47.736944	-15.609167
p_rigida	-48.249444	-15.626667
p_rigida	-47.955083	-15.975417
p_rigida	-47.887778	-15.744444
p_rigida	-47.631667	-15.758889
p_rigida	-48.001111	-15.914167
p_rigida	-47.922308	-15.791612
p_rigida	-48.53975	-16.32115
p_rigida	-47.936667	-15.663333
p_rigida	-47.716667	-15.633333
p_rigida	-47.9161	-15.953167
p_rigida	-50.100833	-17.663056
p_rigida	-50.0839	-17.6472
p_rigida	-53.306667	-18.234167
p_rigida	-47.7975	-15.819444
p_rigida	-48.455656	-16.587942
p_rigida	-48.824444	-15.800278
p_rigida	-47.956111	-15.765833
p_rigida	-47.933333	-15.883333
p_rigida	-47.833333	-15.866667
p_rigida	-47.61360168	-16.76860046
